Program Time [s],data 0,data 1
0.0,484.3202767814383,505.5678985211192
0.02,492.036201440754,506.3711332604754
0.04,495.9559831806734,514.058802557225
0.06,481.96029554271536,505.53536951092633
0.08,488.45297966526545,493.8475406812378
0.1,477.5107372159495,509.6564962480471
0.12,479.03432743902465,499.6974694269347
0.14,485.8103539835654,493.9646558099418
0.16,484.9934641074553,502.72669188801905
0.18,480.0627407751308,496.7804730770661
0.2,483.2819345269695,511.99734766814436
0.22,485.76421841658794,482.5261662070844
0.24,483.3070602566186,497.31975124355176
0.26,471.1201984759283,503.8515634193739
0.28,485.0466199152052,509.25341522744935
0.3,487.97822545195066,500.8189310007882
0.32,480.6453204691809,502.53924444612835
0.34,501.28890234331226,516.2216824751616
0.36,473.65350100333126,499.78257752874026
0.38,484.27477465985015,508.66171977602374
0.4,488.82109337664076,514.8403453220512
0.42,493.1795484120098,511.915810073817
0.44,483.17470579768644,515.8219393513914
0.46,504.67982253879813,512.5000121936192
0.48,467.1760393520756,517.1503916773796
0.5,489.3250979239724,523.5160151101572
0.52,476.02158710229145,503.52577331813296
0.54,484.0002408277595,504.3593417348696
0.56,445.5466979636297,505.6860343623019
0.58,474.4341252441951,508.2513060564179
0.6,455.3274087354862,496.6233540286624
0.62,468.59018644213916,514.8431329765488
0.64,461.0591628762355,511.43794783554824
0.66,441.169890839738,514.2502708776856
0.68,422.3767699793568,512.987794046141
0.7,436.290811806581,504.0926442580246
0.72,436.00672760508303,507.73550342902234
0.74,428.92176811936287,509.02485182802184
0.76,426.0279903860021,515.0882029385853
0.78,403.55544267418406,511.4739399913804
0.8,414.04123394644455,510.13705123215493
0.82,416.3793102604126,502.357392478762
0.84,411.02826451657734,507.36871338002146
0.86,394.7713542135935,509.6816252239597
0.88,404.5581740208022,499.16358248734554
0.9,399.60442904196333,507.03520725114697
0.92,406.2666697941856,516.3160845401302
0.94,412.3050352615544,508.2761665155954
0.96,421.0742348566354,509.36505735005557
0.98,418.445521067028,508.98303044353116
1.0,421.4707429660619,508.53950394173216
1.02,429.91304183676533,497.4012619895364
1.04,427.9376932201138,514.1601443549105
1.06,444.9171573878394,504.92072285187663
1.08,437.5925881631784,512.7332798055814
1.1,451.9996293156123,523.047373329972
1.12,450.06955709558196,518.3758615227481
1.14,476.45086062403004,510.62868727743904
1.16,482.02545306289744,513.3925980200512
1.18,493.1335955963535,512.4579763156627
